ticker_raw,name_cn,sub_industry,gics_sector,hs_sector,code
501 HK,豪威集团,其他芯片,Information Technology,资讯科技业,0501.HK
2676 HK,纳芯微,其他芯片,Information Technology,资讯科技业,2676.HK
1385 HK,上海复旦,其他芯片,Information Technology,资讯科技业,1385.HK
68 HK,MANYCORE TECH,大模型及其应用,Information Technology,资讯科技业,0068.HK
100 HK,MINIMAX-WP,大模型及其应用,Information Technology,资讯科技业,0100.HK
2513 HK,智谱,大模型及其应用,Information Technology,资讯科技业,2513.HK
3317 HK,迅策,大模型及其应用,Information Technology,资讯科技业,3317.HK
9995 HK,荣昌生物,创新药,Health Care,医疗保健业,9995.HK
1801 HK,信达生物,创新药,Health Care,医疗保健业,1801.HK
2696 HK,复宏汉霖,创新药,Health Care,医疗保健业,2696.HK
9926 HK,康方生物,创新药,Health Care,医疗保健业,9926.HK
6990 HK,科伦博泰生物-B,创新药,Health Care,医疗保健业,6990.HK
9969 HK,诺诚健华,创新药,Health Care,医疗保健业,9969.HK
6160 HK,百济神州,创新药,Health Care,医疗保健业,6160.HK
9606 HK,映恩生物-B,创新药,Health Care,医疗保健业,9606.HK
1276 HK,恒瑞医药,创新药,Health Care,医疗保健业,1276.HK
3696 HK,英矽智能,创新药,Health Care,医疗保健业,3696.HK
2228 HK,晶泰控股,创新药,Health Care,医疗保健业,2228.HK
1177 HK,中国生物制药,创新药,Health Care,医疗保健业,1177.HK
1093 HK,石药集团,创新药,Health Care,医疗保健业,1093.HK
3692 HK,翰森制药,创新药,Health Care,医疗保健业,3692.HK
1530 HK,三生制药,创新药,Health Care,医疗保健业,1530.HK
1801 HK,信达生物,创新药,Health Care,医疗保健业,1801.HK
2269 HK,药明生物,CXO,Health Care,医疗保健业,2269.HK
2359 HK,药明康德,CXO,Health Care,医疗保健业,2359.HK
2268 HK,药明合联,CXO,Health Care,医疗保健业,2268.HK
3759 HK,康龙化成,CXO,Health Care,医疗保健业,3759.HK
3347 HK,泰格医药,CXO,Health Care,医疗保健业,3347.HK
2050 HK,三花智控,机器人产业链,Industrials,工业,2050.HK
2432 HK,越疆,机器人产业链,Industrials,工业,2432.HK
9880 HK,优必选,机器人产业链,Industrials,资讯科技业,9880.HK
2692 HK,兆威机电,机器人产业链,Industrials,工业,2692.HK
1304 HK,峰岹科技,机器人产业链,Information Technology,资讯科技业,1304.HK
2715 HK,埃斯顿,机器人产业链,Industrials,工业,2715.HK
179 HK,德昌电机控股,机器人产业链,Consumer Discretionary,工业,0179.HK
6600 HK,卧安机器人,机器人产业链,Consumer Discretionary,工业,6600.HK
699 HK,均胜电子,机器人产业链,Consumer Discretionary,工业,0699.HK
6680 HK,金力永磁,机器人产业链,Industrials,工业,6680.HK
