Ticker,Code,Name,Sector,SubIndustry,SWL1,SWL3,AvgAmtQian,LatestDate
300319.SZ,300319,麦捷科技,电子,被动元件,7605,76050202,3742865.0,20260618
603019.SH,603019,中科曙光,计算机,其他计算机设备,760p,760p0102,3734687.0,20260618
688808.SH,688808,联讯仪器,机械设备,仪器仪表,760n,760n0105,3674049.0,20260618
603799.SH,603799,华友钴业,有色金属,钴,7604,76040501,3670300.0,20260618
603228.SH,603228,景旺电子,电子,印制电路板,7605,76050201,3647064.0,20260618
000792.SZ,000792,盐湖股份,基础化工,钾肥,7602,76020604,3618965.0,20260618
002129.SZ,002129,TCL中环,电力设备,硅料硅片,760m,760m0301,3587956.0,20260618
688167.SH,688167,炬光科技,电子,分立器件,7605,76050101,3581835.0,20260618
600362.SH,600362,江西铜业,有色金属,铜,7604,76040202,3578904.0,20260618
300975.SZ,300975,商络电子,电子,被动元件,7605,76050202,3549479.0,20260618
600900.SH,600900,长江电力,公用事业,水力发电,760c,760c0102,3528809.0,20260618
688322.SH,688322,奥比中光-W,电子,光学元件,7605,76050303,3509398.0,20260618
688388.SH,688388,嘉元科技,电力设备,锂电池,760m,760m0501,3494135.0,20260618
002600.SZ,002600,领益智造,电子,消费电子零部件及组装,7605,76050502,3482728.0,20260618
600118.SH,600118,中国卫星,国防军工,航天装备,760o,760o0101,3472627.0,20260618
600150.SH,600150,中国船舶,国防军工,航海装备,760o,760o0401,3459690.0,20260618
002149.SZ,002149,西部材料,有色金属,其他小金属,7604,76040403,3444165.0,20260618
688082.SH,688082,盛美上海,电子,半导体设备,7605,76050107,3441023.0,20260618
300058.SZ,300058,蓝色光标,传媒,营销代理,760q,760q0201,3408443.0,20260618
300450.SZ,300450,先导智能,电力设备,锂电专用设备,760m,760m0503,3394599.0,20260618
603005.SH,603005,晶方科技,电子,集成电路封测,7605,76050106,3390677.0,20260618
600276.SH,600276,恒瑞医药,医药生物,化学制剂,760b,760b0102,3390317.0,20260618
000333.SZ,000333,美的集团,家用电器,空调,7607,76070101,3364162.0,20260618
603688.SH,603688,石英股份,基础化工,非金属材料,7602,76020701,3358714.0,20260618
688627.SH,688627,精智达,机械设备,仪器仪表,760n,760n0105,3358300.0,20260618
600036.SH,600036,招商银行,银行,股份制银行,760h,760h0201,3352315.0,20260618
002842.SZ,002842,翔鹭钨业,有色金属,钨,7604,76040402,3343103.0,20260618
300672.SZ,300672,国科微,电子,数字芯片设计,7605,76050103,3334096.0,20260618
600367.SH,600367,红星发展,基础化工,无机盐,7602,76020103,3333322.0,20260618
601600.SH,601600,中国铝业,有色金属,铝,7604,76040201,3332383.0,20260618
001696.SZ,001696,宗申动力,机械设备,其他通用设备,760n,760n0104,3315790.0,20260618
688120.SH,688120,华海清科,电子,半导体设备,7605,76050107,3303046.0,20260618
301013.SZ,301013,利和兴,机械设备,其他专用设备,760n,760n0206,3257990.0,20260618
301205.SZ,301205,联特科技,通信,通信网络设备及器件,760r,760r0201,3254017.0,20260618
300657.SZ,300657,弘信电子,电子,印制电路板,7605,76050201,3234158.0,20260618
300037.SZ,300037,新宙邦,电力设备,电池化学品,760m,760m0502,3231157.0,20260618
300088.SZ,300088,长信科技,电子,面板,7605,76050301,3225129.0,20260618
002594.SZ,002594,比亚迪,汽车,电动乘用车,7606,76060401,3217324.0,20260618
002222.SZ,002222,福晶科技,电子,光学元件,7605,76050303,3211425.0,20260618
688110.SH,688110,东芯股份,电子,数字芯片设计,7605,76050103,3202386.0,20260618
600879.SH,600879,航天电子,国防军工,航天装备,760o,760o0101,3173092.0,20260618
601211.SH,601211,国泰海通,非银金融,证券,760i,760i0101,3158710.0,20260618
688777.SH,688777,中控技术,机械设备,工控设备,760n,760n0502,3150578.0,20260618
601688.SH,601688,华泰证券,非银金融,证券,760i,760i0101,3135169.0,20260618
600089.SH,600089,特变电工,电力设备,输变电设备,760m,760m0601,3115228.0,20260618
002297.SZ,002297,博云新材,国防军工,航空装备,760o,760o0201,3112612.0,20260618
000066.SZ,000066,中国长城,计算机,其他计算机设备,760p,760p0102,3073647.0,20260618
603738.SH,603738,泰晶科技,电子,被动元件,7605,76050202,3071037.0,20260618
300373.SZ,300373,扬杰科技,电子,分立器件,7605,76050101,3061586.0,20260618
000938.SZ,000938,紫光股份,计算机,IT服务,760p,760p0201,3060566.0,20260618
688629.SH,688629,华丰科技,国防军工,军工电子,760o,760o0501,3055226.0,20260618
600309.SH,600309,万华化学,基础化工,聚氨酯,7602,76020206,3030152.0,20260618
002602.SZ,002602,世纪华通,传媒,游戏,760q,760q0101,3021157.0,20260618
002192.SZ,002192,融捷股份,有色金属,锂,7604,76040503,2970048.0,20260618
603186.SH,603186,华正新材,电子,印制电路板,7605,76050201,2950412.0,20260618
605376.SH,605376,博迁新材,有色金属,镍,7604,76040502,2947487.0,20260618
603678.SH,603678,火炬电子,国防军工,军工电子,760o,760o0501,2927235.0,20260618
002354.SZ,002354,天娱数科,传媒,营销代理,760q,760q0201,2922396.0,20260618
601179.SH,601179,中国西电,电力设备,输变电设备,760m,760m0601,2918639.0,20260618
300442.SZ,300442,润泽科技,通信,通信应用增值服务,760r,760r0103,2895152.0,20260618
600172.SH,600172,黄河旋风,机械设备,磨具磨料,760n,760n0102,2888798.0,20260618
601398.SH,601398,工商银行,银行,国有大型银行,760h,760h0101,2886457.0,20260618
300179.SZ,300179,四方达,机械设备,磨具磨料,760n,760n0102,2884496.0,20260618
603618.SH,603618,杭电股份,电力设备,线缆部件及其他,760m,760m0605,2871477.0,20260618
688268.SH,688268,华特气体,电子,电子化学品,7605,76050601,2817729.0,20260618
600500.SH,600500,中化国际,基础化工,其他化学制品,7602,76020204,2768072.0,20260618
002119.SZ,002119,康强电子,电子,半导体材料,7605,76050102,2766097.0,20260618
300124.SZ,300124,汇川技术,机械设备,工控设备,760n,760n0502,2741887.0,20260618
002202.SZ,002202,金风科技,电力设备,风电整机,760m,760m0401,2741224.0,20260618
688234.SH,688234,天岳先进,电子,半导体材料,7605,76050102,2737288.0,20260618
300747.SZ,300747,锐科激光,机械设备,激光设备,760n,760n0503,2732964.0,20260618
301377.SZ,301377,鼎泰高科,机械设备,金属制品,760n,760n0106,2732194.0,20260618
000426.SZ,000426,兴业银锡,有色金属,铅锌,7604,76040203,2725768.0,20260618
300661.SZ,300661,圣邦股份,电子,模拟芯片设计,7605,76050104,2722057.0,20260618
688362.SH,688362,甬矽电子,电子,集成电路封测,7605,76050106,2713264.0,20260618
688702.SH,688702,盛科通信-U,电子,数字芯片设计,7605,76050103,2711497.0,20260618
600707.SH,600707,彩虹股份,电子,面板,7605,76050301,2708865.0,20260618
688396.SH,688396,华润微,电子,集成电路制造,7605,76050105,2708773.0,20260618
300803.SZ,300803,指南针,计算机,垂直应用软件,760p,760p0301,2692673.0,20260618
300263.SZ,300263,隆华科技,机械设备,其他通用设备,760n,760n0104,2690207.0,20260618
300776.SZ,300776,帝尔激光,电力设备,光伏加工设备,760m,760m0305,2682753.0,20260618
601888.SH,601888,中国中免,商贸零售,旅游零售,760f,760f0501,2672612.0,20260618
688141.SH,688141,杰华特,电子,模拟芯片设计,7605,76050104,2672463.0,20260618
688519.SH,688519,南亚新材,电子,印制电路板,7605,76050201,2668146.0,20260618
